system:index,B11,B12,B3,B4,B5,B6,B7,B8,B8A,NBRI,NDMI,NDVI,NDWI,SAVI,VH,VH_variance,VV,VV_VH,VV_variance,class,latitude_209564535,longitude_209564535,.geo
4313,0.2101,0.0909,0.1042,0.0751,0.1118,0.2916,0.3835,0.3599,0.4266,0.59671694,0.262807,0.6547127,-0.5509589,0.4568984,-13.297338,0.4725510590948024,-7.3570585,-0.28760362,0.39198935893174536,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31837987299973,-2.0140390293119217]}"
4314,0.2322,0.0933,0.1052,0.0766,0.1163,0.2648,0.3474,0.3112,0.3918,0.53868973,0.14538093,0.604951,-0.4947166,0.39637303,-13.606767,0.33734516486535426,-7.9254174,-0.26385385,0.3034538500245816,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31594409663028,-2.015732916769243]}"
4315,0.1744,0.0654,0.0912,0.0629,0.0849,0.2451,0.3314,0.3093,0.377,0.65092075,0.2788919,0.66200966,-0.5445693,0.42375603,-14.568186,0.38124000133838365,-7.2367435,-0.33622867,0.2934595346735307,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76651922232578,-1.4254935328377973]}"
4316,0.2166,0.0959,0.103,0.0807,0.1163,0.2417,0.3158,0.2928,0.3524,0.5065603,0.14958777,0.5678715,-0.47953513,0.3642244,-14.772624,0.3970496221605586,-9.476074,-0.21842615,0.30068135486068037,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.31438691410371,-2.015414172680486]}"
4317,0.145,0.0615,0.0901,0.0573,0.0875,0.2131,0.2864,0.2507,0.2976,0.60602176,0.26712155,0.62792206,-0.47124413,0.35903466,-13.841574,0.40972478455896777,-7.3394775,-0.30697703,0.4174942159800352,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.3193096098406,-1.9728910599928489]}"
4318,0.1689,0.0664,0.0923,0.0637,0.0878,0.2283,0.3128,0.2898,0.3507,0.62717575,0.26357093,0.639604,-0.5168804,0.39736378,-14.784327,0.3745939134018528,-7.08627,-0.35198203,0.3451153229846362,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.7522098632265,-1.4394678500315516]}"
4319,0.2008,0.0868,0.0925,0.0628,0.0997,0.2539,0.3448,0.3013,0.3709,0.5526926,0.20015931,0.65503985,-0.53021836,0.41401458,-13.429319,0.36966962526150837,-6.7497606,-0.33101404,0.33332342656820657,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.41037967422068,-1.873135005038337]}"
4320,0.1406,0.0565,0.0871,0.063,0.0804,0.2088,0.2863,0.277,0.3226,0.6611694,0.3266284,0.62941176,-0.52156,0.38214287,-14.85835,0.740658640030432,-7.277746,-0.34245443,0.3326401658744125,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76352399391554,-1.4361035093472339]}"
4321,0.2143,0.0926,0.0934,0.0695,0.1005,0.2696,0.3581,0.3165,0.3975,0.54729897,0.19253956,0.6398964,-0.5442791,0.41817155,-14.209348,0.3952600558846697,-7.3893237,-0.31576127,0.37689691693383054,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.41564091162411,-1.8725470088035787]}"
4322,0.1787,0.07295,0.0892,0.0618,0.08715,0.23435,0.3194,0.3015,0.3596,0.6103619,0.25572675,0.6597853,-0.54338366,0.41648325,-15.013916,0.568157101482111,-7.191838,-0.3522546,0.4742390446186455,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.76263362061466,-1.4433038388409611]}"
4323,0.14045,0.0592,0.0916,0.0654,0.07715,0.19285,0.26775,0.2349,0.2884,0.59741586,0.2516318,0.5644356,-0.4388974,0.31769338,-13.939398,0.5051015572058523,-7.349376,-0.3095538,0.3428160304330987,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.7784530777686,-1.4294376117006156]}"
4324,0.17895,0.07215,0.0992,0.0672,0.0934,0.22975,0.3081,0.28825,0.34835,0.5996115,0.23394692,0.62188774,-0.4879339,0.387603,-15.25207,0.4655218412085323,-7.58786,-0.3355619,0.3573584030023014,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.75219481293851,-1.427918478989015]}"
4325,0.2243,0.0977,0.1077,0.0708,0.1073,0.2844,0.3878,0.3385,0.4253,0.55204034,0.202914,0.6540435,-0.51725686,0.44160342,-13.378043,0.3993999981517078,-7.2996197,-0.29396087,0.3048524236125765,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.41737019786213,-1.8694601888112654]}"
4326,0.20135,0.08175,0.09535,0.06435,0.10225,0.282,0.3776,0.32935,0.42215,0.6022866,0.24119087,0.6731013,-0.5509772,0.4447801,-13.339281,0.45933610327568886,-6.942715,-0.3153815,0.46733561515469546,4,,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.29791600472755,-1.9749873761302974]}"
